CustomerID,Age,Gender,Location,MaritalStatus,PolicyType,PolicyStartDate,PolicyEndDate,Premium,RenewalStatus,NumClaims,ClaimAmount,ClaimSatisfaction,PaymentHistory,PaymentMethod,ChurnStatus,Region,State,Product,CustomerCategory
CS0000001,56,Male,Ibadan,Widowed,Travel,02/06/2022,06/11/2024,254693.32,Yes,0,467144.94,5,On-time,Mobile Payment,No,SouthWest,Oyo,Aviation,Individual
CS0000002,69,Male,Ibadan,Married,Life,12/08/2015,21/10/2024,370221.15,Yes,4,567354.99,4,On-time,Mobile Payment,Yes,SouthWest,Ogun,Fire & Burglary,Individual
CS0000003,46,Male,Abuja,Married,Auto,18/02/2021,26/05/2024,371363.35,No,2,648099.72,5,On-time,Mobile Payment,No,SouthEast,Imo,Plant-All-Risk,Individual
CS0000004,32,Female,Kano,Single,Life,07/12/2017,28/09/2023,355976.81,Yes,0,686599.68,3,On-time,Card Payment,No,NorthWest,Sokoto,All Risk Insurance,Individual
CS0000005,60,Male,Kano,Widowed,Life,05/04/2022,21/04/2024,278263.25,Yes,1,271294.65,2,On-time,Card Payment,No,NorthEast,Taraba,Travel,Corporate
CS0000006,25,Male,Lagos,Widowed,Life,15/04/2015,30/05/2023,334886.28,No,1,750406.69,4,On-time,Mobile Payment,No,SouthSouth,Akwa-Ibom,Travel,Individual
CS0000007,38,Female,Port Harcourt,Single,Home,19/08/2017,28/10/2024,488938.95,Yes,4,903414.61,2,Missed,Card Payment,No,NorthEast,Borno,Motor 3rd Party,Corporate
CS0000008,56,Male,Abuja,Widowed,Home,08/10/2015,27/01/2024,355832.89,Yes,0,340710.12,5,On-time,Bank Transfer,Yes,NorthEast,Yobe,Contractors-All-Risk,Individual
CS0000009,36,Female,Abuja,Divorced,Home,21/01/2015,06/11/2024,373815.22,Yes,4,365565.25,4,Late,Bank Transfer,No,NorthEast,Taraba,All Risk Insurance,Corporate
CS0000010,40,Male,Ibadan,Divorced,Life,23/12/2019,09/04/2023,152684.49,Yes,3,78548.87,4,On-time,Bank Transfer,Yes,NorthEast,Adamawa,Contractors-All-Risk,Individual
